Date,SKU Codes,Product Name,Type,Unit MRP,MRP for Pack Size,Unit PP,PP for Pack Size,Selling Price,NTR,Supplier
09-02-2023,PEELTEMP240,Saffola 5Ltr+1,DR0,,1170,,959,,-1,
09-02-2023,OILOILSAF0000582,SAFFOLA ACTIVE OIL POUCH 1 L ( Pack of 10 ),DR0,,2050,,1630,,-1,
09-02-2023,OILOILSAF0000558,Saffola Gold Oil 1 l (Pack of 10),DR0,,1990,,1630,,-1,
09-02-2023,BRANOOYIP0000492,"Sunfeast Yippee Masala Noodles, 70 Gms",DR1,,14,,830,,-1,
09-02-2023,OILGHEVER0000673,"Verka Desi Ghee, 1 Kg Pouch",DR0,,660,,604,,-1,
09-02-2023,CLEDETVIM0000687,"Vim Drop Liquid 750 ML, (Pack of 2)",DR1,,398,,102,,-1,
09-02-2023,CLEDETSUR0000549,SURF EXCEL 1KG,DR1,,,,#REF!,,#REF!,
09-02-2023,CLEDETSUR0000662,SURF EXCEL EASY WASH 500GM,DR1,,,,#REF!,,#REF!,
10-02-2023,CLEDETARI0000574,Ariel Matic Powder 4Kg + 2Kg Fl,DR1,1525,1525,1270.8,1270.8,,-1,
10-02-2023,BRABISBRI0000592,"Britannia Good Day Butter Biscuit, 75 Gm",DR1,10,10,8.5,8.5,,-1,
10-02-2023,BEAHAICLI0000734,Clinic Plus 175 ml (Pack of 2),DR1,115,230,89,178,,-1,
10-02-2023,BEAORACOL0000679,"Colgate 200 gms, (Pack of 3)",DR1,145,435,96.6,289.8,,-1,
10-02-2023,RICBOIDAA0000762,Daawat Rozana Super 90 Basmati Rice 1kg,DR2,98,98,65,65,,-1,
10-02-2023,BEAHAIDAB0000767,Dabur Amla 25Ml ,DR1,10,10,7.5,7.5,,-1,
10-02-2023,BRASPRDAB0000794,Dabur Honey 250 gms plastic jar,DR1,120,120,114,114,,-1,
10-02-2023,BEABATDET0000769,Dettol Soap 10/-,DR1,10,10,8.5,8.5,,-1,
10-02-2023,BEAHAIDOV0000682,"Dove Hairfall 650 Ml, (Pack of 1)",DR1,740,740,370,370,,-1,
10-02-2023,CLEBRUGAL0000576,GALA NO DUST BROOM XL,DR1,210,210,143.65,143.65,,-1,
10-02-2023,CLEALLHAR0000550,Harpic Original 500 Ml (Pack of 3 ),DR1,198,594,81.18,243.54,,-1,
10-02-2023,CLEALLHAR0000514,"Harpic Power Plus Toilet Cleaner,200 Ml",DR1,40,40,33.598958,33.598958,,-1,
10-02-2023,BRASPRHER0000620,Hershey'S Chocloate Syrup 200Gms,DR1,95,95,68,68,,-1,
10-02-2023,BEVENEHOR0000716,"Horlicks Chocolate Energy Drink 500G Jar, (Pack of 2)",DR1,249,498,174,348,,-1,
10-02-2023,BRACERKEL0000579,Kellogg'S Cornflakes Original 875 G,DR1,355,355,287.55,287.55,,-1,
10-02-2023,BRASPR0000763,Kissan Doy Pack,DR1,100,100,78.0082,78.0082,,-1,
10-02-2023,BRAREAKNO0000625,Knorr Soup Hot & Sour Veg 43 Gms (pack of 6),DR1,60,360,40,240,,-1,
10-02-2023,BRAREAKNO0000746,Knorr Soup Sweet Corn Veg ( Pack of 6 ),DR1,60,360,40,240,,-1,
10-02-2023,BRAREAKNO0000747,Knorr Soup Thick Tomato ( Pack of 6 ),DR1,60,360,40,240,,-1,
10-02-2023,BEVTEALIP0000627,Lipton Green Tea Lemon Zest ( Pack of 2 ),DR1,170,340,120,240,,-1,
10-02-2023,BEVTEALIP0000739,Lipton Green Tea Pure & Light ( Pack of 2 ),DR1,170,340,120,240,,-1,
10-02-2023,CLEALLLIZ0000772,Lizol Citrus 1 Ltr,DR1,405,405,352,352,,-1,
10-02-2023,CLEALLLIZ0000580,Lizol Disinfectant 5 L,DR1,849,849,687.69,687.69,,-1,
10-02-2023,BEABATLUX0000719,Lux Jasmine Soap 150 gms (Pack of 1),DR1,198,198,137,137,,-1,
10-02-2023,BEABATLUX0000773,Lux Pink 3X150Gm,DR1,198,198,137,137,,-1,
10-02-2023,BEABATLUX0000629,Lux Velvet Touch Soap 3X150 Gms,DR1,198,198,137,137,,-1,
10-02-2023,PEELTEMP0252,Nescafe 50 gms Poly Pack,DR1,,0,130,130,,-1,
10-02-2023,OILGHENES0000642,Nestle Everyday Ghee 1 L,DR0,600,600,555,555,,-1,
10-02-2023,BEAHAIPAR0000584,PARACHUTE COCONUT OIL EJ 200 ml ( Pack of 6 ),DR1,95,570,71.25,427.5,,-1,
